Código,Tema,Link
2241499,ecuación y grafica de funciones exponenciales,https://funcion-exponencial-uis.streamlit.app/
2200229,Problema de optimización: maximizar el volumen de una caja,https://un-problema-de-optimizaci-n.streamlit.app/
2200243,Funciones Cuadráticas,https://funciones-cuadraticas.streamlit.app/
2241936,Ecuaciones Cuadraticas, https://mi-aplicacion-pe2-uis.streamlit.app/
2241820,Límites,https://proyecto-pe2-2241820-matematicas.streamlit.app/
2241186,Calculadora y Graficadora de derivadas,https://proyectodeprogramacion.streamlit.app/
2241183,ecuación de la circunferencia,https://proyecto-programacion-uis.streamlit.app/
2241410,Derivadas:definicion general y reglas de derivación,https://mi-pagina-web2-mftpeiugnzsypcrytmqz4e.streamlit.app/Derivada
